"all _ image _ url","Occurrence status assumed to be present","Basis of record badly formed","Coordinate precision not valid","Country inferred from coordinates","Data are generalised","Coordinates converted to WGS84","First of the month","First of the year","Geodetic datum assumed WGS84","Identification date before occurrence date","Incomplete collection date","Invalid collection date","Collection code not recognised","Institution code not recognised","Unrecognized geodetic datum"
"","true","false","false","false","false","false","false","false","true","true","false","false","false","false","false"
"092e3483-1323-42b4-837f-3c754c30a737","true","false","false","true","false","false","false","false","true","false","false","false","false","false","false"
"","true","false","false","false","false","false","true","false","true","false","false","false","false","false","false"
"","true","false","false","false","false","false","false","false","true","false","false","false","false","false","false"
"","true","false","false","false","false","false","false","false","true","false","false","false","false","false","false"
"","true","false","false","false","false","false","false","false","true","true","false","false","false","false","false"
"","true","false","false","false","false","false","false","false","true","false","false","false","false","false","false"
"","true","false","false","false","false","false","false","false","true","false","false","false","false","false","false"
"","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false"
"","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false"
"","true","false","false","false","false","false","false","false","true","true","false","false","false","false","false"
"","true","false","false","false","false","false","false","false","true","false","false","false","false","false","false"
"","true","false","false","false","false","false","false","false","true","false","false","false","false","false","false"
"","true","false","false","false","false","false","false","false","true","false","false","false","false","false","false"
"","true","false","false","false","false","false","false","false","true","false","false","false","false","false","false"
"","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false"
"","true","false","false","false","false","false","false","false","true","false","false","false","false","false","false"
"","true","false","false","false","false","false","false","false","true","false","false","false","false","false","false"
"","true","false","false","false","false","false","false","false","false","true","false","false","false","false","true"
"","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false"
"","true","false","false","false","false","false","false","false","true","true","false","false","false","false","false"
"0d3077d7-2d66-4b94-b21e-d255325f40a9","false","false","false","true","false","false","true","false","false","false","false","false","false","false","false"
"","true","false","false","false","false","false","false","false","true","false","false","false","false","false","false"
"","true","false","false","false","false","false","false","false","true","false","false","false","false","false","false"
"","true","false","false","false","false","false","false","false","true","false","false","false","false","false","false"
"","true","false","false","false","false","false","false","false","true","true","false","false","false","false","false"
"","true","false","false","false","false","false","false","false","true","true","false","false","false","false","false"
"","true","false","false","false","false","false","false","false","true","false","false","false","false","false","false"
"","true","false","false","false","false","false","true","false","true","true","false","false","false","false","false"
"","false","false","false","false","false","false","true","false","false","false","false","false","false","false","false"
"","true","false","false","false","false","false","false","false","true","true","false","false","false","false","false"
"","true","false","false","false","false","false","false","false","true","false","false","false","false","false","false"
"","false","false","false","false","false","false","true","false","false","false","false","false","false","false","false"
"","true","false","false","false","false","false","false","false","true","false","false","false","false","false","false"
"","true","false","false","false","false","false","false","false","true","false","false","false","false","false","false"
"","true","false","false","false","false","false","false","false","true","false","false","false","false","false","false"
"","true","false","false","false","false","false","false","false","true","false","false","false","false","false","false"
"","true","false","false","false","false","false","false","false","true","false","false","false","false","false","false"
"","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false"
"d3e1ab20-fa5b-44ad-b23c-76910eae540d","false","false","false","true","false","false","true","false","false","false","false","false","false","false","false"
"","false","false","false","false","false","false","false","false","true","false","false","false","false","false","false"
"","true","false","false","false","false","false","false","false","true","false","false","false","false","false","false"
"","true","false","false","false","false","false","false","false","false","true","false","false","false","false","true"
"","true","false","false","false","false","false","false","false","true","true","false","false","false","false","false"
"","true","true","false","false","true","false","false","false","true","false","true","true","false","false","false"
"","false","false","false","false","false","false","true","true","false","false","false","false","false","false","false"
"","true","false","false","true","false","false","false","false","true","false","true","true","false","false","false"
"","true","true","false","false","true","false","false","false","true","false","true","true","false","false","false"
"","true","false","false","false","false","false","false","false","true","false","true","true","false","false","false"
"","true","true","false","false","true","false","false","false","true","false","true","true","false","false","false"
"","false","false","false","false","false","false","false","false","false","false","true","true","false","false","false"
"","true","true","false","false","true","false","false","false","true","false","true","true","false","false","false"
"","true","false","false","false","false","false","false","false","true","false","true","true","false","false","false"
"","false","false","false","true","false","false","false","false","true","false","true","false","false","false","false"
"","true","true","false","false","true","false","false","false","true","false","true","true","false","false","false"
"","false","false","false","false","false","false","false","false","true","false","true","true","false","false","false"
"","true","false","false","false","false","false","false","false","true","false","true","true","false","false","false"
"","true","false","false","false","false","false","false","false","false","false","true","true","false","false","false"
"","false","false","true","false","false","false","false","false","false","false","true","true","false","false","false"
"","true","true","false","false","true","false","false","false","true","false","true","true","false","false","false"
"","true","true","false","false","true","false","false","false","true","false","true","true","false","false","false"
"","true","false","false","false","false","false","false","false","true","false","true","true","false","false","false"
"","false","false","true","false","false","false","true","true","false","false","false","false","false","false","false"
"","true","true","false","false","true","false","false","false","true","false","true","true","false","false","false"
"","true","true","false","false","true","false","false","false","true","false","true","true","false","false","false"
"","true","true","false","false","true","false","false","false","true","false","true","true","false","false","false"
"","true","true","false","false","true","false","false","false","true","false","true","true","false","false","false"
"","true","true","false","false","true","false","false","false","true","false","true","true","false","false","false"
"","true","false","false","false","false","false","false","false","true","false","true","true","false","false","false"
"","false","false","true","false","false","false","true","true","false","false","false","false","false","false","false"
"","true","false","false","false","false","false","false","false","true","false","true","true","false","false","false"
"","true","false","false","false","false","false","false","false","true","false","true","true","false","false","false"
"","false","false","false","false","false","false","false","false","false","false","true","true","false","false","false"
"","true","true","false","false","true","false","false","false","true","false","true","true","false","false","false"
"","true","true","false","false","true","false","false","false","true","false","true","true","false","false","false"
"","false","false","true","false","false","false","true","true","false","false","false","false","false","false","false"
"","false","false","true","false","false","false","true","true","false","false","false","false","false","false","false"
"","true","false","false","false","false","false","false","false","false","false","true","true","false","false","false"
"","true","true","false","false","true","false","false","false","true","false","true","true","false","false","false"
"","false","false","false","true","false","false","false","false","false","false","true","false","false","false","false"
"","true","false","false","false","false","false","false","false","true","false","true","true","false","false","false"
"","true","false","false","false","false","false","false","false","true","false","true","true","false","false","false"
"","false","false","true","true","false","false","false","false","true","false","false","false","false","false","false"
"b64a81d4-bf87-4556-84cd-004bd4d1fa60","false","false","false","true","false","false","false","false","true","false","false","false","false","false","false"
"","true","false","false","false","false","false","false","false","true","false","false","false","false","false","false"
"19357fcd-0d2d-4f38-a767-f59d8aba8121","false","false","false","true","false","false","false","false","false","false","false","false","false","false","false"
"","true","false","false","false","false","false","true","false","true","false","false","false","false","false","false"
"","true","false","false","false","false","false","false","false","true","true","false","false","false","false","false"
"","false","false","false","false","false","false","false","false","true","false","false","false","false","false","false"
"","true","false","false","false","false","false","false","false","true","false","false","false","false","false","false"
"","true","false","false","false","false","false","false","false","true","false","false","false","false","false","false"
"","true","false","false","false","false","false","false","false","true","false","false","false","false","false","false"
"","true","false","false","false","false","false","false","false","true","false","false","false","false","false","false"
"","true","false","false","false","false","false","false","false","true","true","false","false","false","false","false"
"","true","false","false","false","false","false","false","false","true","false","false","false","false","false","false"
"","true","false","false","false","false","false","false","false","true","false","false","false","false","false","false"
"","true","false","false","false","false","false","false","false","true","false","false","false","false","false","false"
"","true","false","false","false","false","false","false","false","true","false","false","false","false","false","false"
"","true","false","false","false","false","false","false","false","true","false","false","false","false","false","false"
"","true","false","false","false","false","false","false","false","true","false","false","false","false","false","false"
"","true","false","false","false","false","false","false","false","true","false","false","false","false","false","false"
"","true","false","false","false","false","false","false","false","true","true","false","false","false","false","false"
"a851d54b-20f6-412a-ac2f-623ebeaf4e60","false","false","false","true","false","false","false","false","true","false","false","false","false","false","false"
"","true","false","false","false","false","false","false","false","true","true","false","false","false","false","false"
"","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false"
"","true","false","false","false","false","false","false","false","true","false","false","false","false","false","false"
"","true","false","false","false","false","false","false","false","true","false","false","false","false","false","false"
"ee45a27f-521f-4a22-9470-69d0b97069f6","true","false","false","true","false","false","false","false","true","false","false","false","false","false","false"
"","true","false","false","false","false","false","false","false","true","false","false","false","false","false","false"
"","true","false","false","false","false","false","false","false","true","false","false","false","false","false","false"
"","true","false","false","false","false","false","false","false","true","false","false","false","false","false","false"
"","true","false","false","false","false","false","false","false","true","true","false","false","false","false","false"
"","true","false","false","false","false","false","false","false","true","false","false","false","false","false","false"
"","true","false","false","false","false","false","false","false","true","false","false","false","false","false","false"
"","true","false","false","false","false","false","false","false","true","false","false","false","false","false","false"
"","true","false","false","false","false","false","true","false","true","false","false","false","false","false","false"
"5d458679-a818-4bf8-a123-bed864ed8ac3","true","false","false","true","false","false","false","false","true","false","false","false","false","false","false"
"","true","false","false","false","false","false","false","false","true","false","false","false","false","false","false"
"","true","false","false","false","false","false","false","false","true","false","false","false","false","false","false"
"","true","false","false","false","false","false","false","false","true","false","false","false","false","false","false"
"","true","false","false","false","false","false","false","false","true","false","false","false","false","false","false"
"","true","false","false","false","false","false","false","false","true","false","false","false","false","false","false"
"","true","false","false","false","false","false","false","false","true","false","false","false","false","false","false"
"","true","false","false","false","false","false","false","false","true","false","false","false","false","false","false"
"","true","false","false","false","false","false","false","false","true","false","false","false","false","false","false"
"","true","false","false","false","false","false","false","false","true","false","false","false","false","false","false"
"","true","false","false","false","false","false","false","false","true","false","false","false","false","false","false"
"","true","false","false","false","false","false","false","false","true","false","false","false","false","false","false"
"49d02648-5020-4b3b-add2-9394a02f4f6d","true","false","false","true","false","false","false","false","true","false","false","false","false","false","false"
"","true","false","false","false","false","false","false","false","true","false","false","false","false","false","false"
"","true","false","false","false","false","false","false","false","true","false","false","false","false","false","false"
"","true","false","false","false","false","false","false","false","true","false","false","false","false","false","false"
"","true","false","false","false","false","false","false","false","true","true","false","false","false","false","false"
"4ea9a610-6c50-4580-afdd-cd9f4b73b57c","true","false","false","true","false","false","false","false","true","false","false","false","false","false","false"
"","true","false","false","false","false","false","false","false","true","false","false","false","false","false","false"
"","true","false","false","false","false","false","false","false","true","false","false","false","false","false","false"
"","true","false","false","false","false","false","false","false","true","true","false","false","false","false","false"
"","true","false","false","false","false","false","false","false","true","false","false","false","false","false","false"
"","true","false","false","false","false","false","false","false","true","false","false","false","false","false","false"
"","false","false","true","false","true","true","false","false","false","false","false","false","true","true","false"
"","true","false","false","false","false","false","false","false","true","true","false","false","false","false","false"
"","true","false","false","false","false","false","false","false","true","false","false","false","false","false","false"
"","true","false","false","false","false","false","false","false","true","false","false","false","false","false","false"
"","true","false","false","false","false","false","false","false","true","false","false","false","false","false","false"
"","true","false","false","false","false","false","false","false","true","false","false","false","false","false","false"
"","true","false","false","false","false","false","false","false","true","false","false","false","false","false","false"
"","true","false","false","false","false","false","false","false","true","false","false","false","false","false","false"
"","true","false","false","false","false","false","false","false","true","false","false","false","false","false","false"
"","true","false","false","false","false","false","false","false","true","false","false","false","false","false","false"
